읍면,급사면px,물리_임계비율,평균경사,급사면비율,평균dNBR,흉터비율,평균토심,평균m0,y
삼장면,34488,0.0,31.978041130300188,0.8579104477611941,-0.21945343119981883,0.009568545581071676,0.396652460596441,0.12215553417934069,0
삼장면,34404,0.0003197302639227997,30.36191349600016,0.855820895522388,-0.12091879709633689,0.010086036507382863,0.40325253065461103,0.12030578019055652,0
삼장면,38152,2.621094569092053e-05,31.789615489222214,0.9490547263681592,-0.028343266150271454,0.13566785489620464,0.37266067514173773,0.13139285161192155,0
삼장면,38319,0.0022182207260105953,30.4540807603592,0.9532089552238806,-0.10205050797666357,0.0639108536235288,0.6337835022860241,0.17887732201097417,0
삼장면,35118,0.0007973119198132012,30.049170737834377,0.8735820895522388,-0.28081002621329604,0.0008827381969360442,0.5645167724225629,0.17191753774377275,0
삼장면,35309,0.0,28.73456848946926,0.8739635157545605,-0.1317189242405817,0.043728227930555946,0.3235393245924319,0.14116231207611735,0
삼장면,34577,0.0006941030164560257,25.787503099429117,0.8601243781094527,-0.06910732408613293,0.11562599415796627,0.5718064027579755,0.17930416439784305,0
삼장면,38898,0.0,31.56275769482358,0.9676119402985075,-0.2178313640947046,0.019795362229420535,0.4910638091813826,0.15547072070917622,0
금서면,37756,0.0,32.43834529840942,0.9392039800995025,-0.4479481587130986,0.0008475474096832291,0.5291476857091981,0.1079960817249934,0
금서면,36324,0.0031659508864662483,30.039599469101596,0.9035820895522388,-0.47851086745872695,8.259002312520647e-05,0.7043965418109572,0.12826781412497346,0
금서면,26912,0.002340963139120095,25.18512882464139,0.669452736318408,-0.3452574963539467,0.0,0.7169162483401951,0.17755648426990625,0
금서면,27570,0.0,24.002496687432842,0.685820895522388,-0.22098562713365827,0.0015596663039535727,0.6753518319806631,0.18227602848063615,0
금서면,24994,0.00016003840921821236,21.7738804946549,0.6217412935323383,-0.1968948773189348,0.00044010562535008404,0.7115467732082589,0.18842122402416855,0
금서면,7407,0.0,20.738458349522237,0.18425373134328357,-0.32707777477358996,0.00013500742540839745,0.8640947894611806,0.1690765513861342,0
금서면,5294,0.0,22.524115893720996,0.1316915422885572,-0.3057326913053951,0.004722327162825841,0.7489894272518194,0.17950510220411456,0
시천면,35296,0.0,29.611718304110784,0.9387234042553192,-0.4354897546438961,0.0,0.7089571051585808,0.11557967088236756,0
시천면,30568,0.0,26.708529567818342,0.7642,-0.2642710643198897,0.001766553258309343,0.6595197584186587,0.14346702707074904,0
시천면,26110,0.0033320566832631174,28.869734146274492,0.65275,-0.2889580619778672,0.00819609345078514,0.7234412109027736,0.18342014871843013,0
시천면,32819,0.01572259971358055,28.48236075914801,0.820475,-0.11027460807018494,0.19491757823212164,0.6983149998204873,0.14239008131644246,0
시천면,37021,0.01796277788282326,30.840553717495883,0.925525,-0.21658677291920286,0.13470732827314227,0.707602441988702,0.11761162787171116,0
시천면,39231,0.00145293262980806,32.57149284800164,0.980775,-0.17781426713075996,0.13828350029313552,0.38448293639470354,0.10000000149011612,0
시천면,39133,0.018909871463981806,33.43520736998962,0.978325,-0.15004387789247184,0.17729282191500778,0.3209414072489935,0.12224209928404887,0
시천면,39420,0.06770674784373415,33.078224091261305,0.9855,0.03162719332723267,0.4199391171993912,0.4502448011777505,0.1336453596779246,0
시천면,39517,0.0,35.501460305923516,0.9830099502487563,-0.23518540069835667,0.06824910797884455,0.2268605944773481,0.10002783761169395,0
삼장면,38396,0.00013022189811438692,33.055651819995326,0.9599,-0.35162682454414307,0.00020835503698301907,0.5108631117325088,0.10601104446320543,0
삼장면,36313,0.0006058436372648914,30.939225263571682,0.907825,-0.3298326296905593,2.7538347148404152e-05,0.42889736539793005,0.14602759595477904,0
삼장면,36124,0.00041523640792824715,32.50522773332631,0.9031,-0.38272572077160805,0.0,0.4431223021755219,0.129706014555957,0
삼장면,39306,0.0,32.16518980719288,0.98265,-0.17238817611220889,0.029842772095863227,0.5127766765864491,0.15689716816505014,0
삼장면,39439,0.0,33.45683687930628,0.985975,-0.09874855475515698,0.11734577448718274,0.20000000298023224,0.10000000149011612,0
삼장면,39185,0.0,33.44838379252332,0.979625,-0.21499009995316307,0.02802092637488835,0.2525507236300522,0.10959551011849016,0
삼장면,37667,5.30968752488916e-05,32.24076482297497,0.941675,-0.3610002138227409,2.65484376244458e-05,0.3274471038153798,0.13021477885057905,0
삼장면,35671,0.0009811892013119902,32.817500590195294,0.891775,-0.3820979167932703,2.8033977180342574e-05,0.3344355372815981,0.13199798352369926,0
삼장면,37875,0.0,28.152189798436936,0.9421641791044776,-0.23120503860763564,0.008052805280528054,0.21286336855014953,0.10858349996844534,0
삼장면,38311,0.0,29.225944513890127,0.957775,-0.0018360520919434291,0.2166479601158936,0.20569288458082285,0.10379525617327837,0
삼장면,38778,0.0,32.74355877666207,0.96945,-0.07974001656617673,0.14136881737067408,0.20247692285936855,0.10054412445453963,0
금서면,36475,0.0,28.53926774151118,0.911875,-0.32284667752945384,0.0013708019191226869,0.46674982958782857,0.11033584815843862,0
금서면,28887,0.00197320594038841,23.52049963712057,0.722175,-0.27213070537519846,0.0005192647211548448,0.6293799973495299,0.18023332724779795,0
금서면,34400,0.0,23.709662745109824,0.86,-0.23888561621494847,0.0,0.7090930226462525,0.13028488591096776,0
금서면,34583,0.0,24.192158003862414,0.864575,-0.12958560364332922,0.0002602434722262383,0.7003108456291774,0.1238932446719519,0
금서면,34370,0.0011347105033459412,23.887786645808816,0.85925,-0.190915048606662,0.006866453302298516,0.7438769300316252,0.12490835255892567,0
금서면,26858,3.7232854270608387e-05,24.31319292332519,0.67145,-0.21336296199890104,0.00018616427135304193,0.6622347184653496,0.13539355368745887,0
금서면,7619,0.0,23.607087319816312,0.190475,-0.39146293194577564,0.0,0.6943693409200447,0.1387452453175372,0
금서면,4437,0.0,19.021562717937258,0.11037313432835821,-0.34240671636466125,0.000450755014649538,0.8197543460398019,0.1424160496236667,0
시천면,36974,0.0,33.13709830556855,0.9833510638297872,-0.37028046354238986,0.0007302428733704765,0.7166197870581392,0.1031887287513496,0
시천면,35724,0.0,30.686215321756855,0.8931,-0.3414713184619607,0.003918934049938417,0.6698410020526546,0.14362893549448238,0
시천면,28429,0.011220936367793451,30.503335840782817,0.710725,-0.14641035684213505,0.19814274156671005,0.7035966794359314,0.18368567610991282,1
시천면,38411,0.18572804665330245,32.20772701995461,0.960275,0.16574309366826723,0.48876623883783293,0.7316510892582245,0.10694592870533884,0
시천면,38668,0.06113582290265853,31.985367244261923,0.9667,-0.04391406716914659,0.28842970932036827,0.75,0.10000000149011612,0
시천면,38875,0.006842443729903537,32.58191050155983,0.971875,-0.15993468889995516,0.09404501607717042,0.6281144701077623,0.10007459956196726,0
시천면,38996,0.000897527951584778,33.820329450096075,0.9749,-0.1298931948232465,0.09883064929736383,0.5013270605317671,0.10001538768380112,0
삼장면,38977,0.010339430946455602,33.75725995318319,0.974425,-0.3660486209408553,0.022859635169458912,0.6379595665049399,0.10000000149011612,0
삼장면,37715,0.000928012727031685,32.51773468572866,0.93818407960199,-0.39848303835276433,0.018082990852445975,0.5472146367826813,0.10715100254483712,0
삼장면,36649,0.0,33.4598429440808,0.916225,-0.32021893116652533,0.0,0.5124587309800761,0.10667139781848019,0
삼장면,38115,0.0005247277974550702,34.755174519742674,0.952875,-0.46453707189990345,0.0,0.35440771530013254,0.11443263977418089,0
삼장면,37299,0.00016086222150727902,34.03131706494295,0.932475,-0.3240046943645434,0.0,0.483668464185399,0.13315638687386008,0
삼장면,39203,0.0,35.28744449315775,0.980075,-0.2847057216856523,0.0001785577634364717,0.48906333813514524,0.10330076933768417,0
삼장면,39052,0.0,35.10891945823885,0.9763,-0.3880946974789795,0.0,0.32564785614537983,0.10365666445559511,0
삼장면,38749,0.0,34.8522043822027,0.968725,-0.40457451434859004,0.0,0.21681979093315612,0.11069705189597256,0
삼장면,33232,0.0010532017332691383,32.21095752144985,0.8308,-0.4132376212465432,9.027443428021185e-05,0.538487001108324,0.16168452344599843,0
삼장면,38546,2.5943029108078658e-05,31.528780846914184,0.96365,-0.41589646763262705,0.0,0.49642116001896114,0.1445156458492922,0
삼장면,39259,0.0,32.6761210603689,0.9765920398009951,-0.12537692149635174,0.10463842685753585,0.20973917097365663,0.10215237422653702,0
금서면,38552,0.0,33.138147647857274,0.9638,-0.223211929700427,0.0242788960365221,0.20000000298023224,0.10000000149011612,0
금서면,38887,0.0,33.688623868800164,0.972175,-0.3371816315171151,0.0,0.2005554584978227,0.10037030519609953,0
금서면,35246,0.0,31.299655840682746,0.88115,-0.46232271620195475,0.0,0.42032571139276714,0.1413720727164717,0
금서면,35630,0.001515576761156329,29.896311299893885,0.89075,-0.3624393881148045,0.0,0.5361787819072767,0.1432641055136961,0
금서면,33814,0.0,25.930297563858243,0.84535,-0.30929508727132443,0.0,0.5870719228620475,0.1514698076915447,0
금서면,37658,0.0,27.480605724607614,0.94145,-0.14096040498037352,0.010329810398852833,0.7238568167543316,0.10000000149011612,0
