t_sec,WSE_고읍교,h_고읍교,WSE_경호교,h_경호교,WSE_수산교,h_수산교
92400,117.78806735102069,0.0,89.40483728292848,1.967444129618002,59.92628516217089,0.0
93000,117.78806735102069,0.0,89.40963739848782,1.972244245177336,59.92628516217089,0.0
93600,117.78806735102069,0.0,89.41593099527334,1.9785378419628614,59.92628516217089,0.0
94200,117.78806735102069,0.0,89.42382779021304,1.9864346369025583,59.92628516217089,0.0
94800,117.78806735102069,0.0,89.43333863519241,1.9959454818819324,59.92628516217089,0.0
95400,117.78806735102069,0.0,89.44440963487118,2.0070164815606972,59.92628516217089,0.0
96000,117.78806735102069,0.0,89.4568618686753,2.019468715364823,59.92628516217089,0.0
96600,117.78806735102069,0.0,89.47125011552096,2.0338569622104785,59.97880166317022,0.05251650099933158
97200,117.78806735102069,0.0,89.48761123728409,2.050218083973604,60.04572106843503,0.1194359062641368
97800,117.78806735102069,0.0,89.50570962557289,2.06831647226241,60.09388240479222,0.16759724262132636
98400,117.78806735102069,0.0,89.52477220665895,2.087379053348471,60.127186603331154,0.2009014411602621
99000,117.78806735102069,0.0,89.54566284271746,2.1082696894069812,60.14971862825017,0.22343346607927828
99600,117.78806735102069,0.0,89.56740207254752,2.130008919237042,60.16472954689454,0.2384443847236497
100200,117.78806735102069,0.0,89.5891130326371,2.1517198793266203,60.17435032378523,0.24806516161433478
100800,117.78806735102069,0.0,89.610816051795,2.1734228984845174,60.180305841821315,0.25402067965042363
101400,117.78806735102069,0.0,89.63269139364279,2.1952982403323062,60.18395870360438,0.2576735414334905
102000,117.78806735102069,0.0,89.65502900224904,2.2176358489385564,60.186278464801596,0.2599933026307042
102600,117.78806735102069,0.0,89.67811889265508,2.2407257393445974,60.1879276184992,0.2616424563283104
103200,117.78806735102069,0.0,89.70220313419128,2.2648099808807984,60.189415235012255,0.26313007284136347
103800,117.78806735102069,0.0,89.72708046852762,2.2896873152171366,60.19185850875108,0.26557334658019016
104400,117.78806735102069,0.0,89.75240047610568,2.3150073227951964,60.196181929068075,0.2698967668971832
105000,117.78806735102069,0.0,89.77737919318066,2.3399860398701833,60.2027889523362,0.27650379016530735
105600,117.78806735102069,0.0,89.8015159432129,2.3641227899024244,60.21211394403185,0.28582878186095684
106200,117.78806735102069,0.0,89.8240944766043,2.3867013232938206,60.22466234431188,0.29837718214098885
106800,117.78806735102069,0.0,89.8443619868732,2.406968833562715,60.240479636703945,0.3141944745330534
107400,117.78806735102069,0.0,89.86232421030125,2.424931056990772,60.25970822539023,0.33342306321933535
108000,117.78806735102069,0.0,89.87791456808759,2.440521414777109,60.28292492297659,0.3566397608056988
108600,117.78806735102069,0.0,89.89087796416108,2.453484810850597,60.310416572454436,0.38413141028354403
109200,117.78806735102069,0.0,89.90143199630441,2.4640388429939293,60.350595515828914,0.42431035365802217
109800,117.78806735102069,0.0,89.91012033864101,2.472727185330527,60.43527839092929,0.5089932287583991
110400,117.78806735102069,0.0,89.91716245073766,2.4797692974271826,60.52840752945321,0.6021223672823197
111000,117.78806735102069,0.0,89.92292212950503,2.4855289761945443,60.6249594206549,0.6986742584840115
111600,117.78806735102069,0.0,89.9277257590538,2.490332605743319,60.73154279952465,0.8052576373537548
112200,117.78806735102069,0.0,89.93187456473552,2.494481411425042,60.84498952963265,0.918704367461757
112800,117.78806735102069,0.0,89.93564111699816,2.4982479636876747,60.96139357034847,1.035108408177578
113400,117.78806735102069,0.0,89.93937400744495,2.501980854134473,61.08172052083174,1.1554353586608457
114000,117.78806735102069,0.0,89.94362685288498,2.5062336995744943,61.2065257829187,1.2802406207478114
114600,117.78806735102069,0.0,89.94889942279231,2.5115062694818278,61.334305456142694,1.408020293971802
115200,117.78806735102069,0.0,89.95554536042468,2.5181522071141984,61.46532026260082,1.5390351004299276
115800,117.78806735102069,0.0,89.96375757547585,2.526364422165372,61.597644882194935,1.6713597200240429
116400,117.78806735102069,0.0,89.97361246261542,2.53621930930494,61.7306502315997,1.8043650694288047
117000,117.78806735102069,0.0,89.98575329343774,2.548360140127258,61.86340672442239,1.9371215622514981
117600,117.78806735102069,0.0,90.00218537620115,2.5647922228906737,62.0031714696184,2.0768863074475092
118200,117.78806735102069,0.0,90.02381344371604,2.586420290405556,62.147267773155725,2.2209826109848336
118800,117.78806735102069,0.0,90.05188232684516,2.614489173534679,62.30014830868499,2.373863146514097
119400,117.78806735102069,0.0,90.08576004516472,2.648366891854238,62.46317520804505,2.5368900458741592
120000,117.78806735102069,0.0,90.12569804650974,2.688304893199259,62.63322162211825,2.7069364599473573
120600,117.78806735102069,0.0,90.17157459631271,2.734181443002228,62.811293226679695,2.8850080645088028
121200,117.78806735102069,0.0,90.22402432734496,2.7866311740344827,62.997891396977934,3.0716062348070423
121800,117.78806735102069,0.0,90.2881900751392,2.8507969218287172,63.19391416414002,3.2676290019691265
122400,117.78806735102069,0.0,90.37215972146784,2.9347665681573574,63.399669139914536,3.4733839777436444
123000,117.78806735102069,0.0,90.47259619977739,3.035203046466904,63.61548886302546,3.68920370085457
123600,117.78806735102069,0.0,90.58699708465696,3.1496039313464763,63.841775001270555,3.9154898390996635
124200,117.78806735102069,0.0,90.7169233675654,3.279530214254919,64.08818095162277,4.161895789451883
124800,117.78806735102069,0.0,90.87360643807425,3.4362132847637668,64.35846753153129,4.4321823693603974
125400,117.78806735102069,0.0,91.06590036484224,3.6285072115317547,64.65376647346399,4.727481311293097
126000,117.78806735102069,0.0,91.29213081277153,3.854737659461051,64.97207193058509,5.045786768414196
126600,117.78806735102069,0.0,91.55264850423025,4.115255350919767,65.31326217756866,5.386977015397768
127200,117.78806735102069,0.0,91.84309816088461,4.405705007574127,65.6698026468122,5.743517484641309
127800,117.78806735102069,0.0,92.14009741588518,4.702704262574699,66.0372540806885,6.110968918517607
128400,117.78806735102069,0.0,92.46656123985683,5.029168086546349,66.40835435585575,6.482069193684858
129000,117.78806735102069,0.0,92.82789905808241,5.390505904771928,66.77175497435107,6.845469812180177
129600,117.78806735102069,0.0,93.20097689993881,5.763583746628328,67.13342417753876,7.207139015367865
130200,117.78806735102069,0.0,93.57601896467675,6.138625811366268,67.48578500946948,7.559499847298589
130800,117.78806735102069,0.0,93.9590632225866,6.521670069276112,67.84798316534213,7.921698003171237
131400,117.78806735102069,0.0,94.36140881102394,6.924015657713454,68.21282761513928,8.286542452968384
132000,117.78806735102069,0.0,94.74382573943973,7.306432586129247,68.59547021940364,8.669185057232745
132600,117.78806735102069,0.0,95.1013187646252,7.663925611314724,69.06201980046686,9.135734638295965
133200,117.78806735102069,0.0,95.4784619769824,8.041068823671921,69.56592007976066,9.639634917589767
133800,117.78806735102069,0.0,95.80572324173097,8.368330088420493,70.08836374732259,10.162078585151697
134400,117.78806735102069,0.0,96.11698765817333,8.679594504862848,70.62840234375041,10.702117181579517
135000,117.78806735102069,0.0,96.42393747358236,8.986544320271875,71.17780847014969,11.251523307978793
135600,117.78806735102069,0.0,96.72939692467746,9.292003771366979,71.72387981166467,11.797594649493782
136200,117.78806735102069,0.0,97.03164959293626,9.59425643962578,72.28499555564424,12.358710393473352
136800,117.78806735102069,0.0,97.29748713408515,9.860093980774664,72.85989262027695,12.93360745810606
